date,pageview,month-day,year,month_name,month_num,day,z_score
2023-03-14,513716,03-14,2023,March,3,14,0.10661265499031095
2024-03-14,656952,03-14,2024,March,3,14,0.46966775048486037
2025-03-14,256171,03-14,2025,March,3,14,-0.1215297926122023
2023-03-15,512262,03-15,2023,March,3,15,0.10109107738741419
2024-03-15,535396,03-15,2024,March,3,15,0.1266623898810964
2025-03-15,229477,03-15,2025,March,3,15,-0.2636181602396604
2023-03-16,475811,03-16,2023,March,3,16,-0.03733191106044676
2024-03-16,409618,03-16,2024,March,3,16,-0.2282565630790226
2025-03-16,236716,03-16,2025,March,3,16,-0.225085992214817
2023-03-17,414830,03-17,2023,March,3,17,-0.26890778712801716
2024-03-17,481360,03-17,2024,March,3,17,-0.025815790262911222
2025-03-17,269603,03-17,2025,March,3,17,-0.050033165880651494
2023-03-18,505441,03-18,2023,March,3,18,0.0751882707647465
2024-03-18,630770,03-18,2024,March,3,18,0.39578767585812247
2025-03-18,271669,03-18,2025,March,3,18,-0.03903614154865448
2023-03-19,4284290,03-19,2023,March,3,19,14.425400102352656
2024-03-19,675580,03-19,2024,March,3,19,0.5222320324399009
2025-03-19,242596,03-19,2025,March,3,19,-0.19378758801726498
2023-03-20,1010318,03-20,2023,March,3,20,1.992463054408287
2024-03-20,667728,03-20,2024,March,3,20,0.500075346702786
2025-03-20,248246,03-20,2025,March,3,20,-0.1637134411267601
2023-03-21,653790,03-21,2023,March,3,21,0.6385448841155935
2024-03-21,636390,03-21,2024,March,3,21,0.4116461289710347
2025-03-21,235660,03-21,2025,March,3,21,-0.23070693011152024
2023-03-22,564408,03-22,2023,March,3,22,0.29911596437548466
2024-03-22,532356,03-22,2024,March,3,22,0.11808415189831115
2025-03-22,216111,03-22,2025,March,3,22,-0.33476347835266723
2023-03-23,499867,03-23,2023,March,3,23,0.05402095745075301
2024-03-23,480396,03-23,2024,March,3,23,-0.028535994675873384
2025-03-23,221486,03-23,2025,March,3,23,-0.30615311737276213
2023-03-24,426853,03-24,2023,March,3,24,-0.22325034041575598
2024-03-24,478134,03-24,2024,March,3,24,-0.034918880964380034
2025-03-24,263405,03-24,2025,March,3,24,-0.08302423887664255
2023-03-25,384204,03-25,2023,March,3,25,-0.3852102875862814
2024-03-25,559468,03-25,2024,March,3,25,0.19458849011846688
2025-03-25,244541,03-25,2025,March,3,25,-0.1834346294859319
2023-03-26,397917,03-26,2023,March,3,26,-0.3331350512255364
2024-03-26,523486,03-26,2024,March,3,26,0.09305488515248712
2025-03-26,233461,03-26,2025,March,3,26,-0.24241189453846188
2023-03-27,469995,03-27,2023,March,3,27,-0.05941822147203381
2024-03-27,549644,03-27,2024,March,3,27,0.16686723684778193
2025-03-27,236131,03-27,2025,March,3,27,-0.22819986406100204
2023-03-28,476154,03-28,2023,March,3,28,-0.03602936558741128
2024-03-28,695270,03-28,2024,March,3,28,0.5777930541112961
2025-03-28,219067,03-28,2025,March,3,28,-0.3190291105281836
2023-03-29,436356,03-29,2023,March,3,29,-0.18716261554620447
